rank,severity,rule,site_id,file,line,function,c_symbol,summary,evidence_json,recommendation
30,medium,small-call-detector,778b508ad6,sqlite3.go,2790,isInterruptErr,free,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 114.1, ""boundary_ratio"": ""unknown"", ""call_count"": 60374, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
31,medium,small-call-detector,25cc82ac3b,sqlite3.go,2826,isInterruptErr,sqlite3_column_name,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 88.2, ""boundary_ratio"": ""unknown"", ""call_count"": 60402, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
32,medium,small-call-detector,1fb70eb066,sqlite3.go,2830,isInterruptErr,GoString,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 258.3, ""boundary_ratio"": ""unknown"", ""call_count"": 60402, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
33,medium,conversion-copy-detector,1fb70eb066,sqlite3.go,2830,isInterruptErr,GoString,Repeated Go/C data conversion or memory copying appears on this cgo path.,"{""call_count"": 60402, ""conversion_bytes"": 0, ""conversion_count"": 60402, ""free_count"": 0, ""malloc_count"": 0, ""memcpy_bytes"": 0, ""memcpy_count"": 0}","Reuse C buffers, cache stable C strings, pass explicit lengths, or batch conversions."
34,medium,inbound-copy-detector,1fb70eb066,sqlite3.go,2830,isInterruptErr,GoString,C-to-Go string or byte conversion repeatedly copies native data into Go memory.,"{""call_count"": 60402, ""inbound_conversion_bytes"": 0, ""inbound_conversion_count"": 60402}","Avoid materializing Go strings/bytes on every call; cache immutable metadata, return lightweight handles, or batch native-to-Go decoding."
35,medium,small-call-detector,7c53d39812,sqlite3.go,2843,isInterruptErr,sqlite3_column_decltype,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 97.1, ""boundary_ratio"": ""unknown"", ""call_count"": 60400, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
36,medium,small-call-detector,3db7b9fed5,sqlite3.go,2850,isInterruptErr,GoString,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 337.6, ""boundary_ratio"": ""unknown"", ""call_count"": 60400, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
37,medium,conversion-copy-detector,3db7b9fed5,sqlite3.go,2850,isInterruptErr,GoString,Repeated Go/C data conversion or memory copying appears on this cgo path.,"{""call_count"": 60400, ""conversion_bytes"": 0, ""conversion_count"": 60400, ""free_count"": 0, ""malloc_count"": 0, ""memcpy_bytes"": 0, ""memcpy_count"": 0}","Reuse C buffers, cache stable C strings, pass explicit lengths, or batch conversions."
38,medium,inbound-copy-detector,3db7b9fed5,sqlite3.go,2850,isInterruptErr,GoString,C-to-Go string or byte conversion repeatedly copies native data into Go memory.,"{""call_count"": 60400, ""inbound_conversion_bytes"": 0, ""inbound_conversion_count"": 60400}","Avoid materializing Go strings/bytes on every call; cache immutable metadata, return lightweight handles, or batch native-to-Go decoding."
39,medium,small-call-detector,d828f83e98,sqlite3.go,2898,isInterruptErr,sqlite3_interrupt,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 70.1, ""boundary_ratio"": ""unknown"", ""call_count"": 20000, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
40,medium,small-call-detector,7f9abaef1c,sqlite3.go,2912,isInterruptErr,_sqlite3_step_internal,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 4614.8, ""boundary_ratio"": ""unknown"", ""call_count"": 90518, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
41,medium,small-call-detector,b0d22a4c6f,sqlite3.go,2934,isInterruptErr,_sqlite3_column_values,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 117.5, ""boundary_ratio"": ""unknown"", ""call_count"": 60498, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
42,medium,small-call-detector,1425daf1e7,sqlite3.go,2990,isInterruptErr,GoStringN,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 697.8, ""boundary_ratio"": ""unknown"", ""call_count"": 30431, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
43,medium,conversion-copy-detector,1425daf1e7,sqlite3.go,2990,isInterruptErr,GoStringN,Repeated Go/C data conversion or memory copying appears on this cgo path.,"{""call_count"": 30431, ""conversion_bytes"": 65880, ""conversion_count"": 30431, ""free_count"": 0, ""malloc_count"": 0, ""memcpy_bytes"": 0, ""memcpy_count"": 0}","Reuse C buffers, cache stable C strings, pass explicit lengths, or batch conversions."
44,medium,inbound-copy-detector,1425daf1e7,sqlite3.go,2990,isInterruptErr,GoStringN,C-to-Go string or byte conversion repeatedly copies native data into Go memory.,"{""call_count"": 30431, ""inbound_conversion_bytes"": 65880, ""inbound_conversion_count"": 30431}","Avoid materializing Go strings/bytes on every call; cache immutable metadata, return lightweight handles, or batch native-to-Go decoding."
