rank,site_id,file,line,function,c_symbol,call_count,total_cgo_ns,avg_cgo_ns,total_boundary_ns,boundary_ratio,scheduler_block_ns
79,000169ff41,sqlite3.go,2977,isInterruptErr,GoBytes,4,416,104.0,0,0.0,0
80,4a978d4d9d,callback.go,353,callbackArgString,sqlite3_value_text,8,416,52.0,0,0.0,0
81,90ca1550e7,sqlite3_opt_serialize.go,55,<package>,sqlite3_free,1,334,334.0,0,0.0,0
82,d840065f5b,error.go,91,<package>,sqlite3_errstr,2,334,167.0,0,0.0,0
83,d750070a4c,backup.go,44,<package>,CString,3,333,111.0,0,0.0,0
84,08d4a0ce94,callback.go,372,callbackArgGeneric,sqlite3_value_type,14,332,23.714285714285715,0,0.0,0
85,b095a879d5,sqlite3.go,2489,bindValue,sqlite3_bind_null,3,332,110.66666666666667,0,0.0,0
86,fa367617cf,sqlite3.go,1713,lastError,CString,3,292,97.33333333333333,0,0.0,0
87,8be59766bd,backup.go,38,<package>,free,3,291,97.0,0,0.0,0
88,a1b5fab348,sqlite3.go,2349,finalizeCachedStmt,sqlite3_file_control,1,291,291.0,0,0.0,0
89,c44e2d94ef,sqlite3.go,2478,bindValue,sqlite3_bind_int,3,291,97.0,0,0.0,0
90,7d0bd66430,callback.go,334,callbackArgString,sqlite3_value_type,8,290,36.25,0,0.0,0
91,883353b5f5,backup.go,82,<package>,sqlite3_backup_remaining,6,251,41.833333333333336,0,0.0,0
92,92a2c3fdfb,,,,,1,209,209.0,0,0.0,0
93,1bfacbce85,sqlite3_load_extension.go,27,<package>,sqlite3_enable_load_extension,1,208,208.0,0,0.0,0
94,d0235b1ea9,sqlite3.go,1719,lastError,free,3,208,69.33333333333333,0,0.0,0
95,daa1b8be76,sqlite3_load_extension.go,120,<package>,free,2,208,104.0,0,0.0,0
96,e2ad664641,callback.go,483,callbackRetFloat,sqlite3_result_double,1,208,208.0,0,0.0,0
97,f4d3e8216f,sqlite3.go,349,Version,GoString,3,208,69.33333333333333,0,0.0,0
98,fcd50a0269,sqlite3_load_extension.go,114,<package>,CString,2,208,104.0,0,0.0,0
99,c2e7362245,callback.go,362,callbackArgString,GoStringN,8,168,21.0,0,0.0,0
100,12a8775603,sqlite3.go,659,Version,CString,2,167,83.5,0,0.0,0
